,country,x,y,csize
0,portugal,-594.0,-320.0,middle
1,spain,-482.0,-332.0,big
2,france,-338.0,-149.0,big
3,italy,-169.0,-207.0,middle
4,switzerland,-211.0,-152.0,small
5,belgium,-272.0,-26.0,small
6,luxembourg,-244.0,-58.0,small
7,holland,-245.0,19.0,small
8,germany,-160.0,-15.0,big
9,united kingdom,-378.0,32.0,middle
10,ireland,-477.0,88.0,middle
11,iceland,-444.0,406.0,middle
12,denmark,-161.0,131.0,small
13,norway,-170.0,263.0,middle
14,sweden,-75.0,219.0,middle
15,finland,66.0,299.0,middle
16,estonia,91.0,224.0,small
17,latvia,88.0,163.0,small
18,lithuania,86.0,123.0,small
19,poland,0.0,10.0,big
20,czechia,-73.0,-65.0,middle
21,austria,-66.0,-143.0,middle
22,slovenia,-63.0,-181.0,small
23,croatia,-20.0,-191.0,small
24,hungary,17.0,-150.0,small
25,slovakia,19.0,-92.0,small
26,bosnia,4.0,-235.0,small
27,serbia,77.0,-232.0,small
28,kosovo,83.0,-280.0,small
29,albania,66.0,-338.0,small
30,macedonia,102.0,-314.0,small
31,romania,159.0,-172.0,big
32,bulgaria,185.0,-269.0,middle
33,greece,108.0,-382.0,middle
34,turkey,368.0,-323.0,big
35,moldova,224.0,-104.0,small
36,ukraine,217.0,-32.0,big
37,belarus,165.0,78.0,middle
38,russia,315.0,255.0,big
